Beer name,Beer style,Beer ABV,Brewery name,Island,Booth,Additional taprooms,Region,Actual location,Website
Barrel Aged Backdraft Imperial Stout,Wood and Barrel-aged beers,12.5,Pumphouse Brewery and Restaurant,3,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",http://pumphousebrewery.com/
Igniter Pale Ale,Pales Ales and Strong Pale Ales,5.0,Pumphouse Brewery and Restaurant,3,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",http://pumphousebrewery.com/
Forager IPA,American and English India Pale Ales,6.8,Pumphouse Brewery and Restaurant,3,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",http://pumphousebrewery.com/
Mountain View IPA,American and English India Pale Ales,7.4,Pumphouse Brewery and Restaurant,3,12,"","Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",http://pumphousebrewery.com/
Monk's Indiscretion,Belgian-Style Ales,10.0,Echoes Brewing Company,11,15,"",Meet the Brewer,"POULSBO, Washington, United States",www.echoesbrewing.com
The Golden Blonde,Belgian-Style Ales,7.8,Echoes Brewing Company,11,15,"",Meet the Brewer,"POULSBO, Washington, United States",www.echoesbrewing.com
Coldr CRISPR,Pales Ales and Strong Pale Ales,6.8,Echoes Brewing Company,11,15,"",Meet the Brewer,"POULSBO, Washington, United States",www.echoesbrewing.com
Oktoberfest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",6.0,Echoes Brewing Company,11,15,"",Meet the Brewer,"POULSBO, Washington, United States",www.echoesbrewing.com
Hop Daddy IPA,American and English India Pale Ales,6.5,Main Street Brewery,15,14,"","Pacific (CA, HI)","Corona, California, United States",
Hop Child Hazy Pale,Pales Ales and Strong Pale Ales,5.5,Main Street Brewery,15,14,"","Pacific (CA, HI)","Corona, California, United States",
Rimpua Red,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.5,Main Street Brewery,15,14,"","Pacific (CA, HI)","Corona, California, United States",
Bishops Tipple Tripel,Belgian-Style Ales,9.0,Main Street Brewery,15,14,"","Pacific (CA, HI)","Corona, California, United States",
American Hefeweizen,Wheat Beers: American & German-Style,7.5,Main Street Brewery,15,14,"","Pacific (CA, HI)","Corona, California, United States",
Tower X West Coast  IPA,American and English India Pale Ales,7.3,Karl Strauss Brewing Company,15,9,Heavy Medal Taproom,"Pacific (CA, HI)","San Diego, California, United States",www.karlstrauss.com
Red Trolley Ale,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.8,Karl Strauss Brewing Company,15,9,Heavy Medal Taproom,"Pacific (CA, HI)","San Diego, California, United States",www.karlstrauss.com
Oktoberfest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Karl Strauss Brewing Company,15,9,Heavy Medal Taproom,"Pacific (CA, HI)","San Diego, California, United States",www.karlstrauss.com
Follow The Sun Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.2,Karl Strauss Brewing Company,15,9,Heavy Medal Taproom,"Pacific (CA, HI)","San Diego, California, United States",www.karlstrauss.com
Controlled Chaos-Pink Lemonade,"Sour Ales, Brett Beers & Lambics",5.5,Karl Strauss Brewing Company,15,9,Heavy Medal Taproom,"Pacific (CA, HI)","San Diego, California, United States",www.karlstrauss.com
Aurora Hoppyalis IPA,American and English India Pale Ales,7.0,Karl Strauss Brewing Company,15,9,Heavy Medal Taproom,"Pacific (CA, HI)","San Diego, California, United States",www.karlstrauss.com
Scottish Ale,"Scotch Ales, Old Ales, Strong Ales and Barley wine ales",5.3,Stodgy Brewing Company,4,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Fort Collins, Colorado, United States",
Mexican Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Stodgy Brewing Company,4,3,"","Mountain (CO,UT,NV,ID,WY,MT)","Fort Collins, Colorado, United States",
Run Wild IPA,NA Beers,0.4,Athletic Brewing Company,7,26,Non-alcohol Taproom,"New England (ME, NH, VT, MA, CT, RI)","Milford, Connecticut, United States",www.athleticbrewing.com
Free Wave Hazy IPA,NA Beers,0.4,Athletic Brewing Company,7,26,Non-alcohol Taproom,"New England (ME, NH, VT, MA, CT, RI)","Milford, Connecticut, United States",www.athleticbrewing.com
Wit's Peak,NA Beers,0.4,Athletic Brewing Company,7,26,Non-alcohol Taproom,"New England (ME, NH, VT, MA, CT, RI)","Milford, Connecticut, United States",www.athleticbrewing.com
Tropical Reset,NA Beers,0.4,Athletic Brewing Company,7,26,Non-alcohol Taproom,"New England (ME, NH, VT, MA, CT, RI)","Milford, Connecticut, United States",www.athleticbrewing.com
Laid Back Lime,NA Beers,0.4,Athletic Brewing Company,7,26,Non-alcohol Taproom,"New England (ME, NH, VT, MA, CT, RI)","Milford, Connecticut, United States",www.athleticbrewing.com
Run Wild IPA,NA Beer,0.4,Athletic Brewing Company,7,26,Non-alcohol Taproom,"New England (ME, NH, VT, MA, CT, RI)","Milford, Connecticut, United States",www.athleticbrewing.com
Athletic Lite,NA Beer,0.4,Athletic Brewing Company,7,26,Non-alcohol Taproom,"New England (ME, NH, VT, MA, CT, RI)","Milford, Connecticut, United States",www.athleticbrewing.com
Railway Cafe,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",8.3,Railroad Brewing Company,10,3,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Avon, Ohio, United States",Www.railroad.beer
Hot-n-Nauti,"Rye, Herb & Spice Beers",5.5,Railroad Brewing Company,10,3,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Avon, Ohio, United States",Www.railroad.beer
Park Circle Pale Ale,Pales Ales and Strong Pale Ales,5.5,Commonhouse Aleworks,9,21,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","North Charleston, South Carolina, United States",
Looking East IPA,American and English India Pale Ales,9.2,Commonhouse Aleworks,9,21,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","North Charleston, South Carolina, United States",
Amberween,Pro-Am Beers,6.0,Commonhouse Aleworks,9,21,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","North Charleston, South Carolina, United States",
Red Fox Irish Ale,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.0,Commonhouse Aleworks,9,21,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","North Charleston, South Carolina, United States",
Forklift Training. Key Lime Cheesecake,Fruit & Fruit Wheat Beers,6.8,Hailstorm Brewing,5,23,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Tinley Park, Illinois, United States",
Big Beautiful Wheat,Wheat Beers: American & German-Style,5.8,Hailstorm Brewing,5,23,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Tinley Park, Illinois, United States",
Southside Irish Red,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.2,Hailstorm Brewing,5,23,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Tinley Park, Illinois, United States",
Chile Silver Lining,"Rye, Herb & Spice Beers",6.3,Hailstorm Brewing,5,23,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Tinley Park, Illinois, United States",
603 Oktoberfest,"Dark Lagers: Dunkel, Schwarzbier, Baltic-Style Porter",5.2,603 Brewery,,,Wish We Were Here,,"Londonderry, New Hampshire, United States",
603 Double IPA,"Fresh Hop, Imperial India Pale and Imperial Red Ales",8.5,603 Brewery,,,Wish We Were Here,,"Londonderry, New Hampshire, United States",
Unreal IPA,American and English India Pale Ales,8.0,Unreal Brewing Company,17,21,"","Pacific (CA, HI)","Campbell, California, United States",
Unreal Porter,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",5.4,Unreal Brewing Company,17,21,"","Pacific (CA, HI)","Campbell, California, United States",
Unreal Dry Hopped Red,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.0,Unreal Brewing Company,17,21,"","Pacific (CA, HI)","Campbell, California, United States",
Unreal Hefeweizen,Wheat Beers: American & German-Style,5.0,Unreal Brewing Company,17,21,"","Pacific (CA, HI)","Campbell, California, United States",
Unreal Hazy IPA,American and English India Pale Ales,7.0,Unreal Brewing Company,17,21,"","Pacific (CA, HI)","Campbell, California, United States",
Mango Stickee Rice,Fruit & Fruit Wheat Beers,6.2,Maui Brewing Co.,15,16,"","Pacific (CA, HI)","Kihei, Hawaii, United States",
Kaitangata New Zealand IPA,American and English India Pale Ales,4.0,Maui Brewing Co.,15,16,"","Pacific (CA, HI)","Kihei, Hawaii, United States",
Pineapple Mana Wheat,Fruit & Fruit Wheat Beers,7.0,Maui Brewing Co.,15,16,"","Pacific (CA, HI)","Kihei, Hawaii, United States",
Imperial Coconut Porter,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",8.5,Maui Brewing Co.,15,16,"","Pacific (CA, HI)","Kihei, Hawaii, United States",
Pau Hana Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.2,Maui Brewing Co.,15,16,"","Pacific (CA, HI)","Kihei, Hawaii, United States",
Templin Family Granary Keller Bier,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.7,Templin Family Brewing,4,5,"","Mountain (CO,UT,NV,ID,WY,MT)","Tf Brewing Co, Utah, United States",www.TFBrewing.com
Templin Family Munchin Helles,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Templin Family Brewing,4,5,"","Mountain (CO,UT,NV,ID,WY,MT)","Tf Brewing Co, Utah, United States",www.TFBrewing.com
Templin Family Squirrel!,Pales Ales and Strong Pale Ales,6.7,Templin Family Brewing,4,5,"","Mountain (CO,UT,NV,ID,WY,MT)","Tf Brewing Co, Utah, United States",www.TFBrewing.com
Templin Family Rauch Bier,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Templin Family Brewing,4,5,"","Mountain (CO,UT,NV,ID,WY,MT)","Tf Brewing Co, Utah, United States",www.TFBrewing.com
Templin Family CZ Dark Lager Bier,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Templin Family Brewing,4,5,"","Mountain (CO,UT,NV,ID,WY,MT)","Tf Brewing Co, Utah, United States",www.TFBrewing.com
Milk Stout Nitro,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.0,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
St. Vrain,Belgian-Style Ales,9.3,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Sawtooth Ale,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.3,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
1265 Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.2,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Peanut Butter Milk Stout Nitro,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.2,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Oktoberfest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",6.6,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Death Before Disco,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.0,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
30th Anniversary,Wood and Barrel-aged beers,14.1,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Breezy Does It,Fruit & Fruit Wheat Beers,4.8,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Belgian White Nitro,Belgian-Style Ales,4.8,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Milk Stout,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.0,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
St. Vrain,Belgian-Style Ales,9.3,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Sawtooth Ale,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.3,Left Hand Brewing Co.,4,1,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Longmont, Colorado, United States",www.lefthandbrewing.com
Lampshade Porter,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.7,Starr brothers brewing co,16,20,"","Southwest (AZ, NM,TX)","Albuquerque, New Mexico, United States",
Starrphire,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.0,Starr brothers brewing co,16,20,"","Southwest (AZ, NM,TX)","Albuquerque, New Mexico, United States",
Melonberry gose,Fruit & Fruit Wheat Beers,5.5,Starr brothers brewing co,16,20,"","Southwest (AZ, NM,TX)","Albuquerque, New Mexico, United States",
Hazy,American and English India Pale Ales,6.5,Starr brothers brewing co,16,20,"","Southwest (AZ, NM,TX)","Albuquerque, New Mexico, United States",
Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.9,Prost Brewing Co,9,5,"",Meet the Brewer,"Denver, Colorado, United States",
Dunkel,"Dark Lagers: Dunkel, Schwarzbier, Baltic-Style Porter",5.6,Prost Brewing Co,9,5,"",Meet the Brewer,"Denver, Colorado, United States",
Hefeweizen,Wheat Beers: American & German-Style,5.2,Prost Brewing Co,9,5,"",Meet the Brewer,"Denver, Colorado, United States",
Kölsch,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.8,Prost Brewing Co,9,5,"",Meet the Brewer,"Denver, Colorado, United States",
FestBier,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.3,Prost Brewing Co,9,5,"",Meet the Brewer,"Denver, Colorado, United States",
Bridge,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.5,Deadwords Brewing Co.,12,15,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Orlando, Florida, United States",www.deadwords.com
Dino Hop IPA,American and English India Pale Ales,7.1,Horse & Dragon Brewing Company,8,19,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.horseanddragonbrewing.com
Citrus Fiesta Raspberry Lemon Kettle Sour,"Sour Ales, Brett Beers & Lambics",5.7,Horse & Dragon Brewing Company,8,19,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.horseanddragonbrewing.com
Silver Lion Czech-Style Pilsner,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.1,Horse & Dragon Brewing Company,8,19,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.horseanddragonbrewing.com
Peach Float Peach IPA,American and English India Pale Ales,6.7,Horse & Dragon Brewing Company,8,19,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.horseanddragonbrewing.com
Sad Panda Coffee Stout,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.8,Horse & Dragon Brewing Company,8,19,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.horseanddragonbrewing.com
Alaskan Amber,"Bitter, Altbier, Red, Amber, Summer & Golden Ales",5.3,Alaskan Brewing Co.,4,19,"","Pacific Northwest (OR, WA, AK)","Seattle, Alaska, United States",
Alaskan Smoked Porter,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",6.5,Alaskan Brewing Co.,4,19,"","Pacific Northwest (OR, WA, AK)","Seattle, Alaska, United States",
Alaskan Juneau Juice,American and English India Pale Ales,6.8,Alaskan Brewing Co.,4,19,"","Pacific Northwest (OR, WA, AK)","Seattle, Alaska, United States",
Alaskan Grizz Coffee Brown,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",7.0,Alaskan Brewing Co.,4,19,"","Pacific Northwest (OR, WA, AK)","Seattle, Alaska, United States",
St Charles Porter,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",5.8,Blackstone Brewing Company,9,19,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Nashville, Tennessee, United States",www.blackstonebeer.com
Nut Brown Ale,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",5.6,Blackstone Brewing Company,9,19,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Nashville, Tennessee, United States",www.blackstonebeer.com
Chaser,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.2,Blackstone Brewing Company,9,19,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Nashville, Tennessee, United States",www.blackstonebeer.com
Pumpkin Ale,"Rye, Herb & Spice Beers",5.1,Blackstone Brewing Company,9,19,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Nashville, Tennessee, United States",www.blackstonebeer.com
Strawberry Picnic,Fruit & Fruit Wheat Beers,4.8,Blackstone Brewing Company,9,19,"","Southeast (KY, TN,NC, SC, GA, AL, MS, AR, LA, FL)","Nashville, Tennessee, United States",www.blackstonebeer.com
The Wedge,American and English India Pale Ales,7.1,"Salt Road Brewing, LLC",12,9,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.saltroadbrewing.com
"Froggy, Rather Groggy","Fresh Hop, Imperial India Pale and Imperial Red Ales",9.0,"Salt Road Brewing, LLC",12,9,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.saltroadbrewing.com
Arrogant Sellout,"Scotch Ales, Old Ales, Strong Ales and Barley wine ales",9.3,"Salt Road Brewing, LLC",12,9,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.saltroadbrewing.com
My Only Sunshine,Belgian-Style Ales,7.0,"Salt Road Brewing, LLC",12,9,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.saltroadbrewing.com
Black Gold,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.6,"Salt Road Brewing, LLC",12,9,"",Meet the Brewer,"Fort Collins, Colorado, United States",www.saltroadbrewing.com
2019 Barrel Aged Father Time,Wood and Barrel-aged beers,16.9,River North Brewery,3,18,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",www.rivernorthbrewery.com
Mr. Sandman XO,Wood and Barrel-aged beers,14.7,River North Brewery,3,18,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",www.rivernorthbrewery.com
Last Guardian,Belgian-Style Ales,15.1,River North Brewery,3,18,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",www.rivernorthbrewery.com
Midnight Hike,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",11.1,River North Brewery,3,18,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",www.rivernorthbrewery.com
Hello Darkness,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",10.6,River North Brewery,3,18,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",www.rivernorthbrewery.com
Snowburn,"Scotch Ales, Old Ales, Strong Ales and Barley wine ales",10.8,River North Brewery,3,18,Heavy Medal Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Denver, Colorado, United States",www.rivernorthbrewery.com
Mango Habanero Sour Ale,"Rye, Herb & Spice Beers",5.0,Gideon's Brewing Co.,7,20,"","Midwest (ND, SD, NE, IA, KS, MO, OK)","Bismarck, North Dakota, United States",https://gideonsbrewing.com/
Preaty Woman,"Sour Ales, Brett Beers & Lambics",5.0,Gideon's Brewing Co.,7,20,"","Midwest (ND, SD, NE, IA, KS, MO, OK)","Bismarck, North Dakota, United States",https://gideonsbrewing.com/
Honey Bear IPA,American and English India Pale Ales,10.0,Gideon's Brewing Co.,7,20,"","Midwest (ND, SD, NE, IA, KS, MO, OK)","Bismarck, North Dakota, United States",https://gideonsbrewing.com/
Prickly Pear Margarita Sour,"Sour Ales, Brett Beers & Lambics",5.0,Gideon's Brewing Co.,7,20,"","Midwest (ND, SD, NE, IA, KS, MO, OK)","Bismarck, North Dakota, United States",https://gideonsbrewing.com/
Oktoberfest,Wheat Beers: American & German-Style,6.0,Gideon's Brewing Co.,7,20,"","Midwest (ND, SD, NE, IA, KS, MO, OK)","Bismarck, North Dakota, United States",https://gideonsbrewing.com/
Kill the Lights,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",10.2,The Tap Brewery,10,21,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bloomington, Indiana, United States",www.thetapbeerbar.com
Night Huntress,"Dark Lagers: Dunkel, Schwarzbier, Baltic-Style Porter",5.0,The Tap Brewery,10,21,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bloomington, Indiana, United States",www.thetapbeerbar.com
The Prancing Pony,"Dark Ales: Scotch, Porters, Stouts, Brown & Black Ales",4.8,The Tap Brewery,10,21,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bloomington, Indiana, United States",www.thetapbeerbar.com
Nefarious Nectar,Belgian-Style Ales,10.2,The Tap Brewery,10,21,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bloomington, Indiana, United States",www.thetapbeerbar.com
Bionic Dragon,American and English India Pale Ales,7.0,The Tap Brewery,10,21,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Bloomington, Indiana, United States",www.thetapbeerbar.com
Italian Grape Dale,"Sour Ales, Brett Beers & Lambics",6.0,Lone Tree Brewing Company,2,16,Non-alcohol Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Lone Tree, Colorado, United States",
Mexican Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.3,Lone Tree Brewing Company,2,16,Non-alcohol Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Lone Tree, Colorado, United States",
Oktoberfest,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",5.4,Lone Tree Brewing Company,2,16,Non-alcohol Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Lone Tree, Colorado, United States",
Peach Pale Ale,Fruit & Fruit Wheat Beers,5.7,Lone Tree Brewing Company,2,16,Non-alcohol Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Lone Tree, Colorado, United States",
Ufloric (Naked),AF Soft Drink,0.0,Lone Tree Brewing Company,2,16,Non-alcohol Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Lone Tree, Colorado, United States",
Ufloric (Citrus),AF Soft Drinks,0.0,Lone Tree Brewing Company,2,16,Non-alcohol Taproom,"Mountain (CO,UT,NV,ID,WY,MT)","Lone Tree, Colorado, United States",
Gorilla,Pales Ales and Strong Pale Ales,5.0,King Cong Brewing,15,10,"","Pacific (CA, HI)","Sacramento, California, United States",www.kingcongbrewing.com
Dzungle,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.4,King Cong Brewing,15,10,"","Pacific (CA, HI)","Sacramento, California, United States",www.kingcongbrewing.com
MexiCali,"Dark Lagers: Dunkel, Schwarzbier, Baltic-Style Porter",5.4,King Cong Brewing,15,10,"","Pacific (CA, HI)","Sacramento, California, United States",www.kingcongbrewing.com
Prague at Night,"Dark Lagers: Dunkel, Schwarzbier, Baltic-Style Porter",5.5,King Cong Brewing,15,10,"","Pacific (CA, HI)","Sacramento, California, United States",www.kingcongbrewing.com
Auburn Lager,Wheat Beers: American & German-Style,4.6,Mad Anthony Brewing Company,10,10,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Fort Wayne, Indiana, United States",http://www.madbrew.com
Wicked Pissah Hazy Juicy NEIPA,American and English India Pale Ales,6.5,Mad Anthony Brewing Company,10,10,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Fort Wayne, Indiana, United States",http://www.madbrew.com
Pineapple Tart,"Sour Ales, Brett Beers & Lambics",4.2,Mad Anthony Brewing Company,10,10,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Fort Wayne, Indiana, United States",http://www.madbrew.com
Ruby Raspberry Wheat,Fruit & Fruit Wheat Beers,4.7,Mad Anthony Brewing Company,10,10,"","Great Lakes (MN, WI, MI, IL, IN, OH)","Fort Wayne, Indiana, United States",http://www.madbrew.com
Best Maid Pickle Beer,"Sour Ales, Brett Beers & Lambics",4.7,Martin House Brewing Co,16,2,"","Southwest (AZ, NM,TX)","Fort Worth, Texas, United States",https://martinhousebrewing.com/
True Love Raspberry Sour,"Sour Ales, Brett Beers & Lambics",5.2,Martin House Brewing Co,16,2,"","Southwest (AZ, NM,TX)","Fort Worth, Texas, United States",https://martinhousebrewing.com/
Palo Pinto - Bloody Mary,Experimental Beers,8.0,Martin House Brewing Co,16,2,"","Southwest (AZ, NM,TX)","Fort Worth, Texas, United States",https://martinhousebrewing.com/
Awesome Sauce Sour Seltzer - TBD Flavor,Hard Seltzers/ Hard Sodas,5.0,Martin House Brewing Co,16,2,"","Southwest (AZ, NM,TX)","Fort Worth, Texas, United States",https://martinhousebrewing.com/
Me Gusta,"Sour Ales, Brett Beers & Lambics",6.7,Martin House Brewing Co,16,2,"","Southwest (AZ, NM,TX)","Fort Worth, Texas, United States",https://martinhousebrewing.com/
White,Belgian-Style Ales,5.2,Allagash Brewing Company,7,25,"","New England (ME, NH, VT, MA, CT, RI)","Portland, Maine, United States",allagash.com
Curieux,Wood and Barrel-aged beers,10.2,Allagash Brewing Company,7,25,"","New England (ME, NH, VT, MA, CT, RI)","Portland, Maine, United States",allagash.com
Hop Reach,American and English India Pale Ales,6.8,Allagash Brewing Company,7,25,"","New England (ME, NH, VT, MA, CT, RI)","Portland, Maine, United States",allagash.com
Two Lights,Experimental Beers,6.7,Allagash Brewing Company,7,25,"","New England (ME, NH, VT, MA, CT, RI)","Portland, Maine, United States",allagash.com
Rusty Hoe Farmhouse Style Ale,Belgian-Style Ales,5.0,Prodigy Brewing,3,11,"","Mountain (CO,UT,NV,ID,WY,MT)","Logan, Utah, United States",www.prodigy-brewing.com
302 Pilsener,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.6,Prodigy Brewing,3,11,"","Mountain (CO,UT,NV,ID,WY,MT)","Logan, Utah, United States",www.prodigy-brewing.com
Three Amigos Belgian Style Trippel,Belgian-Style Ales,9.0,Prodigy Brewing,3,11,"","Mountain (CO,UT,NV,ID,WY,MT)","Logan, Utah, United States",www.prodigy-brewing.com
Inversion New England IPA,American and English India Pale Ales,6.9,Prodigy Brewing,3,11,"","Mountain (CO,UT,NV,ID,WY,MT)","Logan, Utah, United States",www.prodigy-brewing.com
Social Mexican-Style Lager,"Session Ales & Lagers: Pilseners, Lagers, Mild, Koelsch, etc.",4.8,Boulder Social,1,11,"","Mountain (CO,UT,NV,ID,WY,MT)","Boulder, Colorado, United States",
